Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,HeadquartersCity,HeadquartersState
400,Vertex Pharmaceuticals,VRTX,Health Care,Pharmaceuticals,yes,no,yes,yes,27,yes,no,no,no,no,yes,5400,107975.3,9869.2,10.5,3619.6,9,22730.2,Reshma Kewalramani,Boston,Massachusetts
401,Biogen,BIIB,Health Care,Pharmaceuticals,yes,no,no,no,-15,no,yes,no,no,no,no,7570,31344.1,9835.6,-3.3,1161.1,-61.9,26844.8,Christopher A. Viehbacher,Cambridge,Massachusetts
402,GXO Logistics,GXO,Transportation,Transportation and Logistics,yes,no,no,no,21,yes,no,no,no,no,no,109000,6411.5,9778,8.7,229,16.2,9507,Malcolm Wilson,Greenwich,Connecticut
403,SpartanNash,SPTN,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,no,-4,no,yes,no,no,no,no,13500,699.6,9729.2,0.9,52.2,51.3,2355.6,Tony B. Sarsam,Grand Rapids,Michigan
404,Burlington Stores,BURL,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,30,yes,no,no,no,no,no,44050,14841.4,9727.5,11.8,339.6,47.6,7706.8,Michael B. O?Sullivan,Burlington,New Jersey
405,Thrivent Financial for Lutherans,,Financials,"Insurance: Life, Health (Mutual)",yes,no,yes,yes,7,yes,no,no,no,no,no,3810,,9720.3,4,347.2,-68,115628.7,Teresa J. Rasmussen,Minneapolis,Minnesota
406,NVR,NVR,Engineering & Construction,Homebuilders,yes,no,no,no,-30,no,yes,no,no,no,no,6300,25904.2,9687.3,-8.4,1591.6,-7.8,6601.8,Eugene J. Bredow,Reston,Virginia
407,Owens Corning,OC,Materials,"Building Materials, Glass",yes,no,no,no,-12,no,yes,no,no,no,no,18000,14510.2,9677,-0.9,1196,-3.6,11237,Brian D. Chambers,Toledo,Ohio
407,Westinghouse Air Brake Technologies,WAB,Industrials,Industrial Machinery,yes,no,no,yes,46,yes,no,no,no,no,no,29000,25789.6,9677,15.7,815,28.8,18988,Rafael O. Santana,Pittsburgh,Pennsylvania
409,Oshkosh,OSK,Industrials,Construction and Farm Machinery,yes,no,no,yes,46,yes,no,no,no,no,no,17300,8178.1,9657.9,16.6,598,243.9,9129.2,John C. Pfeifer,Oshkosh,Wisconsin
410,Global Payments,GPN,Business Services,Financial Data Services,yes,no,no,yes,15,yes,no,no,no,no,no,27000,34094.6,9654.4,7.6,986.2,784.6,50570.2,Cameron M. Bready,Atlanta,Georgia
411,Lululemon athletica,LULU,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,50,yes,no,no,no,no,no,38000,49225.1,9619.3,18.6,1550.2,81.4,7091.9,Calvin McDonald,Sumner,Washington
412,Albemarle,ALB,Chemicals,Chemicals,yes,no,no,yes,81,yes,no,no,no,no,no,9000,15482.7,9617.2,31.4,1573.5,-41.5,18270.7,J. Kent Masters,Charlotte,North Carolina
413,JetBlue Airways,JBLU,Transportation,Airlines,no,no,yes,yes,4,yes,no,no,no,no,no,21310,2523.8,9615,5,-310,,13853,Joanna  Geraghty,Long Island City,New York
414,Seaboard,SEB,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-50,no,yes,no,no,no,no,12847,3130.6,9562,-15,226,-61,7566,Robert L. Steer,Merriam,Kansas
415,Constellation Brands,STZ,"Food, Beverages & Tobacco",Beverages,no,no,no,no,15,yes,no,no,no,no,no,9400,49683.2,9452.6,7.2,-71,,24662.3,William A. Newlands,Victor,New York
416,Graphic Packaging Holding,GPK,Materials,"Packaging, Containers",yes,no,no,no,-7,no,yes,no,no,yes,no,23500,8930.6,9428,-0.1,723,38.5,11175,Michael P. Doss,Atlanta,Georgia
417,Hertz Global Holdings,HTZ,Retailing,"Automotive Retailing, Services",yes,no,no,yes,18,yes,no,no,no,no,no,27000,2390.5,9371,7.9,616,-70.1,24605,Gil  West,Estero,Florida
418,FM Global,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,290,yes,no,yes,no,no,no,5667,,9359,113.1,3748.5,,34479,Malcolm C. Roberts,Johnston,Rhode Island
419,Campbell Soup,CPB,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,23,yes,no,no,no,no,no,14500,13250.7,9357,9.3,858,13.3,12058,Mark A. Clouse,Camden,New Jersey
420,Expeditors Intl. of Washington,EXPD,Transportation,Transportation and Logistics,yes,no,no,no,-175,no,yes,no,no,no,no,18452,17248.7,9300.1,-45.5,752.9,-44.5,4523.8,Jeffrey S. Musser,Seattle,Washington
421,A-Mark Precious Metals,AMRK,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,37,yes,no,no,no,no,no,421,701.4,9286.6,13.8,156.4,18,1545.6,Gregory N. Roberts,El Segundo,California
422,Booz Allen Hamilton Holding,BAH,Technology,Information Technology Services,yes,no,no,yes,30,yes,no,no,no,yes,no,31900,19259.5,9258.9,10.7,271.8,-41.8,6550.7,Horacio D. Rozanski,McLean,Virginia
423,Quest Diagnostics,DGX,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-32,no,yes,no,no,yes,no,44000,14782.7,9252,-6.4,854,-9.7,14022,James E. Davis,Secaucus,New Jersey
424,Altice USA,ATUS,Telecommunications,Telecommunications,yes,no,no,no,-27,no,yes,no,no,no,no,10600,1190.5,9237.1,-4.3,53.2,-72.7,31923.6,Dennis Mathew,Long Island City,New York
425,PVH,PVH,Apparel,Apparel,yes,no,no,no,-3,no,yes,no,no,no,no,23000,8385.6,9217.7,2.1,663.6,231.1,11172.9,Stefan Larsson,New York,New York
426,Eastman Chemical,EMN,Chemicals,Chemicals,yes,no,no,no,-49,no,yes,no,no,no,no,14000,11786.2,9210,-12.9,894,12.7,14633,Mark J. Costa,Kingsport,Tennessee
427,Insight Enterprises,NSIT,Technology,Information Technology Services,yes,no,yes,yes,-48,no,yes,no,no,no,no,14437,6046.1,9175.8,-12,281.3,0.2,6286.4,Joyce A. Mullen,Chandler,Arizona
428,Regions Financial,RF,Financials,Commercial Banks,yes,no,no,yes,55,yes,no,no,no,no,no,20101,19332.9,9153,21.5,2074,-7.6,152194,John M. Turner Jr.,Birmingham,Alabama
429,Beacon Roofing Supply,BECN,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,20,yes,no,no,no,no,no,8063,6217.6,9119.8,8.2,435,-5.1,6207.7,Julian G. Francis,Herndon,Virginia
430,Rockwell Automation,ROK,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,46,yes,no,no,no,no,no,29000,33384.1,9058,16.7,1387.4,48.8,11304,Blake D. Moret,Milwaukee,Wisconsin
431,Polaris,PII,Transportation,Transportation Equipment,yes,no,no,yes,-7,no,yes,no,no,no,no,18500,5654.8,9014.8,0.3,502.8,12.5,5516.3,Michael T. Speetzen,Medina,Minnesota
432,ServiceNow,NOW,Technology,Computer Software,yes,no,no,yes,67,yes,no,no,no,yes,yes,22668,156292,8971,23.8,1731,432.6,17387,William R. McDermott,Santa Clara,California
433,Sanmina,SANM,Technology,Semiconductors and Other Electronic Components,yes,yes,no,no,38,yes,no,no,no,no,no,36000,3468.2,8935,12.8,310,28.9,4874,Jure Sola,San Jose,California
434,UGI,UGI,Energy,Utilities: Gas and Electric,no,no,no,yes,-46,no,yes,no,no,no,no,10500,5142.4,8928,-11.7,-1502,-240,15401,Mario  Longhi,King of Prussia,Pennsylvania
435,WEC Energy Group,WEC,Energy,Utilities: Gas and Electric,yes,no,no,no,-31,no,yes,no,no,no,no,7000,25935.2,8893,-7.3,1331.7,-5.4,43939.7,Scott J. Lauber,Milwaukee,Wisconsin
436,BrightSpring Health Services,BGST,Health Care,Health Care: Pharmacy and Other Services,no,no,no,no,0,no,no,yes,no,no,no,35000,1860.8,8826.2,14.3,-154.6,,5532.7,Jon B. Rousseau,Louisville,Kentucky
437,Cintas,CTAS,Business Services,Diversified Outsourcing Services,yes,no,no,yes,36,yes,no,no,no,yes,no,44500,69695.1,8815.8,12.2,1348,9.1,8546.4,Todd M. Schneider,Cincinnati,Ohio
438,Commercial Metals,CMC,Materials,Metals,yes,no,no,yes,-10,no,yes,no,no,no,no,13022,6800.2,8799.5,-1.3,859.8,-29.4,6639.1,Peter R. Matt,Irving,Texas
439,Continental Resources,CLR,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-32,no,yes,no,no,no,no,1457,,8731.7,-7.8,3095.8,-23.1,22387.4,Robert D. Lawler,Oklahoma City,Oklahoma
440,Chesapeake Energy,CHK,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-90,no,yes,no,no,no,no,1000,11618.5,8721,-25.7,2419,-51,14376,Domenic J. Dell'Osso Jr.,Oklahoma City,Oklahoma
441,CenterPoint Energy,CNP,Energy,Utilities: Gas and Electric,yes,no,no,no,-28,no,yes,no,no,no,no,8827,18035.1,8696,-6.7,917,-13.2,39715,Jason P. Wells,Houston,Texas
442,NGL Energy Partners,NGL,Energy,Pipelines,yes,no,no,no,25,yes,no,no,no,no,no,638,763.3,8694.9,9.4,51.4,,5456.1,H. Michael Krimbill,Tulsa,Oklahoma
443,DoorDash,DASH,Technology,Internet Services and Retailing,no,yes,no,yes,88,yes,no,yes,no,no,no,19300,55639.5,8635,31.2,-558,,10839,Tony Xu,San Francisco,California
444,NOV,NOV,Energy,"Oil and Gas Equipment, Services",yes,no,no,yes,57,yes,no,yes,no,no,no,33676,7690.9,8583,18.6,993,540.6,11294,Clay C. Williams,Houston,Texas
445,Zoetis,ZTS,Health Care,Pharmaceuticals,yes,no,yes,yes,18,yes,no,no,no,no,no,14100,77475.7,8544,5.7,2344,10.9,14286,Kristin C. Peck,Parsippany,New Jersey
446,J.M. Smucker,SJM,"Food, Beverages & Tobacco",Food Consumer Products,no,no,no,no,19,yes,no,no,no,no,no,5800,13364.3,8529.2,6.6,-91.3,-114.5,14991.4,Mark T. Smucker,Orrville,Ohio
447,Microchip Technology,MCHP,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,75,yes,no,yes,no,no,no,22600,48478.2,8438.7,23.7,2237.7,74.1,16370.3,Ganesh Moorthy,Chandler,Arizona
448,Dover,DOV,Industrials,Industrial Machinery,yes,no,no,no,-3,no,yes,no,no,no,no,25000,24341.7,8438.1,-0.8,1056.8,-0.8,11348.5,Richard J. Tobin,Downers Grove,Illinois
449,Diamondback Energy,FANG,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-49,no,yes,no,no,no,no,1023,35362.8,8412,-12.8,3143,-28.3,29001,Travis D. Stice,Midland,Texas
450,Avery Dennison,AVY,Materials,"Packaging, Containers",yes,no,no,no,-29,no,yes,no,no,yes,no,35000,17976.2,8364.3,-7.5,503,-33.6,8209.8,Dean M. Stander,Mentor,Ohio
451,PPL,PPL,Energy,Utilities: Gas and Electric,yes,no,no,yes,19,yes,no,no,no,no,no,6629,20306.2,8312,5.2,740,-2.1,39236,Vincent Sorgi,Allentown,Pennsylvania
452,ON Semiconductor,ON,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,2,yes,no,no,no,no,no,30050,31430,8253,-0.9,2183.7,14.8,13215.2,Hassane S. El-Khoury,Scottsdale,Arizona
453,ARKO,ARKO,Retailing,Specialty Retailers: Other,yes,no,no,yes,7,yes,no,no,no,no,no,13481,662.2,8238.8,1.4,34.4,-52.1,3650.4,Arie Kotler,Richmond,Virginia
454,Par Pacific Holdings,PARR,Energy,Petroleum Refining,yes,no,no,yes,38,yes,no,no,no,no,no,1814,2199.2,8232,12.4,728.6,100.1,3864,William  Monteleone,Houston,Texas
455,APA,APA,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-114,no,yes,no,no,no,no,2271,10367.4,8192,-32.5,2855,-22.3,15244,John J. Christmann IV,Houston,Texas
456,Equinix,EQIX,Financials,Real estate,yes,no,no,yes,41,yes,no,no,no,no,no,13151,78093.9,8188.1,12.7,969.2,37.6,32650.7,Charles J. Meyers,Redwood City,California
457,New York Community Bancorp,NYCB,Financials,Commercial Banks,no,no,no,yes,0,no,no,yes,no,no,no,8766,2569.3,8178,249.6,-79,-112.2,114057,Joseph M. Otting,Hicksville,New York
458,Foot Locker,FL,Retailing,Specialty Retailers: Apparel,no,no,yes,no,-26,no,yes,no,no,no,no,30591,2693.1,8168,-6.7,-330,-196.5,6868,Mary N. Dillon,New York,New York
459,Ingredion,INGR,"Food, Beverages & Tobacco",Food Production,yes,no,no,no,9,yes,no,no,no,yes,no,11600,7665.9,8160,2.7,643,30.7,7642,James P. Zallie,Westchester,Illinois
460,Newell Brands,NWL,Household Products,"Home Equipment, Furnishings",no,no,no,no,-52,no,yes,no,no,yes,no,24600,3333.7,8133,-14,-388,-297,12163,Christopher H. Peterson,Atlanta,Georgia
461,ABM Industries,ABM,Business Services,Diversified Outsourcing Services,yes,no,no,no,14,yes,no,no,no,no,no,123000,2824.1,8096.4,3.7,251.3,9.1,4933.7,Scott B. Salmirs,New York,New York
462,Securian Financial Group,,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,105,yes,no,yes,no,no,no,5565,,8067,30.6,226.6,,73457.5,Christopher M. Hilger,St. Paul,Minnesota
463,Prologis,PLD,Financials,Real estate,yes,yes,no,yes,112,yes,no,yes,no,yes,no,2574,120459.8,8023.5,34.3,3059.2,-9.1,93020.8,Hamid R. Moghadam,San Francisco,California
464,Blackstone,BX,Financials,Diversified Financials,yes,yes,no,yes,-20,no,yes,no,no,no,no,4735,93882.8,8022.8,-5.8,1390.9,-20.4,40287.5,Stephen A. Schwarzman,New York,New York
465,Skechers U.S.A.,SKX,Apparel,Apparel,yes,yes,no,yes,23,yes,no,no,no,no,no,13550,9389.7,8000.3,7.5,545.8,46.3,7547.4,Robert Greenberg,Manhattan Beach,California
466,Masco,MAS,Household Products,"Home Equipment, Furnishings",yes,no,no,no,-30,no,yes,no,no,no,no,18000,17335.1,7967,-8.2,908,7.6,5363,Keith J. Allman,Livonia,Michigan
467,Rush Enterprises,RUSHB,Retailing,"Automotive Retailing, Services",yes,no,no,yes,40,yes,no,yes,no,no,no,8449,4164.4,7925,11.6,347.1,-11.3,4364.2,W.M. Rush,New Braunfels,Texas
468,Franklin Resources,BEN,Financials,Securities,yes,no,yes,no,-12,no,yes,no,no,no,no,9200,14801.5,7849.4,-5.1,882.8,-31.7,30121.2,Jennifer M. Johnson,San Mateo,California
469,ODP,ODP,Retailing,Specialty Retailers: Other,yes,no,no,no,-23,no,yes,no,no,no,no,20000,1942.6,7831,-7.8,139,-16.3,3886,Gerry P. Smith,Boca Raton,Florida
470,American Financial Group,AFG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,40,yes,no,yes,no,no,no,8500,11418.1,7827,11.2,852,-5.1,29787,Carl H. Lindner lll/S. Craig Lindner,Cincinnati,Ohio
471,Packaging Corp. of America,PKG,Materials,"Packaging, Containers",yes,no,no,no,-24,no,yes,no,no,yes,no,14900,17033.7,7802.4,-8,765.2,-25.7,8681.1,Mark W. Kowlzan,Lake Forest,Illinois
472,Vulcan Materials,VMC,Materials,"Building Materials, Glass",yes,no,no,no,22,yes,no,no,no,no,no,10961,36099.6,7781.9,6.4,933.2,62.1,14545.7,J. Thomas Hill,Birmingham,Alabama
473,Interactive Brokers Group,IBKR,Financials,Securities,yes,no,no,yes,263,yes,no,yes,no,no,no,2932,47328.3,7776,90.4,600,57.9,128423,Milan Galik,Greenwich,Connecticut
474,Williams-Sonoma,WSM,Retailing,Specialty Retailers: Other,yes,no,yes,no,-37,no,yes,no,no,no,no,15000,20357.6,7750.7,-10.6,949.8,-15.8,5273.5,Laura J. Alber,San Francisco,California
475,XPO,XPO,Transportation,Transportation and Logistics,yes,no,no,no,3,yes,no,no,no,no,no,39450,14169.3,7744,0.3,189,-71.6,7492,Mario A. Harik,Greenwich,Connecticut
476,Weyerhaeuser,WY,Materials,Forest and Paper Products,yes,no,no,yes,-91,no,yes,no,no,no,no,9318,26200.5,7674,-24.6,839,-55.4,16983,Devin W. Stockfish,Seattle,Washington
477,Genworth Financial,GNW,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,9,yes,no,no,no,no,no,2700,2825.7,7488,-0.3,76,-87.5,90817,Thomas J. McInerney,Richmond,Virginia
478,CMS Energy,CMS,Energy,Utilities: Gas and Electric,yes,no,no,no,-37,no,yes,no,no,no,no,8356,18018.6,7462,-13.2,887,6,33517,Garrick J. Rochow,Jackson,Michigan
479,Science Applications International,SAIC,Technology,Information Technology Services,yes,no,yes,no,0,no,no,no,no,yes,no,24000,6734.4,7444,-3.4,477,59,5314,Toni Townes-Whitley,Reston,Virginia
480,Jefferies Financial Group,JEF,Financials,Diversified Financials,yes,no,no,yes,22,yes,no,yes,no,no,no,7564,9347.9,7441.4,4.1,277.7,-64.6,57905.2,Richard B. Handler,New York,New York
481,Bath & Body Works,BBWI,Retailing,Specialty Retailers: Other,yes,no,yes,yes,1,yes,no,no,no,no,no,33069,11249.3,7429,-1.7,878,9.8,5463,Gina R. Boswell,Columbus,Ohio
482,Electronic Arts,EA,Media,Entertainment,yes,no,no,yes,30,yes,no,yes,no,yes,no,13400,35469.4,7426,6.2,802,1.6,13459,Andrew Wilson,Redwood City,California
483,Taylor Morrison Home,TMHC,Engineering & Construction,Homebuilders,yes,no,yes,no,-26,no,yes,no,no,no,no,2800,6616.7,7417.8,-9.8,768.9,-27,8672.1,Sheryl D. Palmer,Scottsdale,Arizona
484,Zimmer Biomet Holdings,ZBH,Health Care,Medical Products and Equipment,yes,no,no,no,25,yes,no,yes,no,no,no,18000,27116.8,7394.2,4.3,1024,342.5,21496.9,Ivan Tornos,Warsaw,Indiana
485,Clorox,CLX,Household Products,Household and Personal Products,yes,no,yes,no,20,yes,no,yes,no,no,no,8700,19001.9,7389,4,149,-67.7,5945,Linda Rendle,Oakland,California
486,Xylem,XYL,Industrials,Industrial Machinery,yes,no,no,yes,117,yes,no,yes,no,no,no,23000,31246.4,7364,33.4,609,71.5,16112,Matthew F. Pine,Washington,District Of Columbia
487,Voya Financial,VOYA,Financials,Diversified Financials,yes,no,yes,yes,92,yes,no,yes,no,no,no,9000,7510.9,7348,24.1,625,22.5,157085,Heather H. Lavallee,New York,New York
488,Fastenal,FAST,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,26,yes,no,yes,no,yes,no,20721,44157,7346.7,5.2,1155,6.3,4462.9,Daniel L. Florness,Winona,Minnesota
489,Watsco,WSO,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,6,yes,no,no,no,no,no,7388,17061.3,7283.8,0.1,536.3,-10.8,3729.2,Albert H. Nahmad,Miami,Florida
490,Workday,WDAY,Technology,Computer Software,yes,no,no,yes,72,yes,no,yes,no,yes,no,18800,72006,7259,16.8,1381,,16452,Carl M. Eschenbach,Pleasanton,California
491,Old Republic International,ORI,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-29,no,yes,no,no,no,no,9200,8463.5,7258.3,-10.2,598.6,-12.8,26501.4,Craig R. Smiddy,Chicago,Illinois
492,RPM International,RPM,Chemicals,Chemicals,yes,no,no,yes,34,yes,no,yes,no,no,no,17274,15329.3,7256.4,8.2,478.7,-2.6,6782,Frank C. Sullivan,Medina,Ohio
493,UFP Industries,UFPI,Materials,"Building Materials, Glass",yes,no,no,yes,-90,no,yes,no,no,no,no,15800,7568.8,7218.4,-25,514.3,-25.7,4017.8,Matthew J. Missad,Grand Rapids,Michigan
494,Ameren,AEE,Energy,Utilities: Gas and Electric,yes,no,no,yes,-14,no,yes,no,no,no,no,9372,19711.1,7213,-5.9,1152,7.3,40830,Martin J. Lyons Jr.,St. Louis,Missouri
495,Knight-Swift Transportation Hldgs.,KNX,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,-5,no,yes,no,no,no,no,34550,8885.4,7141.8,-3.9,217.1,-71.8,12870.8,Adam W. Miller,Phoenix,Arizona
496,Monster Beverage,MNST,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,60,yes,no,yes,no,no,no,5629,61688.9,7140,13.1,1631,36.9,9686.5,Rodney C. Sacks/Hilton H. Schlosberg,Corona,California
497,Intuitive Surgical,ISRG,Health Care,Medical Products and Equipment,yes,no,no,yes,63,yes,no,yes,no,no,no,13676,141456.9,7124.1,14.5,1798,36,15441.5,Gary S. Guthart,Sunnyvale,California
498,Super Micro Computer,SMCI,Technology,"Computers, Office Equipment",yes,yes,no,yes,138,yes,no,yes,no,no,no,5126,59137.7,7123.5,37.1,640,124.4,3674.7,Charles Liang,San Jose,California
499,Concentrix,CNXC,Technology,Information Technology Services,yes,no,no,yes,54,yes,no,yes,no,no,no,440000,4342.2,7114.7,12.5,313.8,-27.9,12491.8,Christopher A. Caldwell,Newark,California
500,O-I Glass,OI,Materials,"Packaging, Containers",no,no,no,no,19,yes,no,yes,no,no,no,23000,2549.4,7105,3.6,-103,-117.6,9669,Gordon J. Hardie,Perrysburg,Ohio
